Autor;Título;REVISTA;Volume;Number;Pages;ANO;Tipo;QUALIS DA REVISTA;Usuário Impressora 3D;Metodologia Utilizada;Etapa, disciplina e currículo;Cultura Maker e Ensino STEAM;Observações;Criação do design;INSTITUIÇÃO
"de Andrade Batista, Rayane Luzia; Santos, Jarles Tarsso Gomes; ";O Uso do GeoGebra e Impressora 3D como Recurso Didático para o Ensino da Geometria das Coordenadas;Anais do V Congresso sobre Tecnologias na Educação;;;208-217;2020;;;;;;;;;SBC
"Barros, Heitor WS; Leite, Yasmim Picanço; Nunes, Karlyana Madeira; Carvalho, Felipe Gato; ";Impressão 3D e conhecimento astronômico como ferramenta de iniciação e divulgação da ciência;Revista Interdisciplinar de Tecnologias na Educação (RInTE);8;1;;2022;artigo;;;;;;;;
"Evangelista, Fábio Lombardo; ";Materiais didáticos para o ensino de física no nível fundamental por meio de plataformas eletrônicas;Revista do Professor de Física;3;3;49-68;2019;artigo;C;;;;;;;
"Medeiros, Magno; da Silva, Marlon; de Oliveira, Daniella; dos Santos, Fábio; Rodrigues, Luanda Kívia; ";Influência da Densidade de Preenchimento e do Número de Perímetros nas Propriedades Mecânicas de Peças Fabricadas em PLA a Partir de Impressão 3D;CALIBRE-Revista Brasiliense de Engenharia e Física Aplicada;5;;33-39;2020;;;;;;;;;
"VIEIRA, Eduardo Filipe Torres; MIRANDA, Phelipe Henrique Costa; ";Modelagem e impressão 3D de ferramentas didáticas para o curso de Agronomia;;;;;2021;;;;;;;;;UFRA/Campus Belém
"Vieira, David Vernon; ";Inovação em bibliotecas: considerações sobre a disponibilização de serviço de impressão 3D;Revista Brasileira de Biblioteconomia e Documentação;13;;1106-1120;2017;artigo;A3;;;;;;;
"Ventura, Flávio Cardoso; Lopes, Aparecida Maria Zem; de Menezes, Carlos Rezende; Favoni, Célio; ";Uso remoto da impressão 3D no processo de ensino-aprendizagem para alunos de uma IES;;;;;;;;;;;;;;
"Morandini, Moisés Miranda; Del Vechio, Gustavo Henrique; ";IMPRESSÃO 3D, TIPOS E POSSIBILIDADES: uma revisão de suas características, processos, usos e tendências;Revista Interface Tecnológica;17;2;67-77;2020;artigo;;;;;;;;
"Pires, Mylena Iasmim Figueiredo; Júnior, Airton José Vinholi; ";Modelos Concretos em Impressão 3D como Materiais Inclusivos na Educação Profissional e Tecnológica;Brazilian Journal of Development;6;12;104084-104097;2020;;;;;;;;;
"Alencar, Vitória Mickelle Pereira de; ";Uso da Manufatura Aditiva para Produção de Mapas Táteis: Uma combinação de Braille e Impressão 3D para identificar salas e espaços físicos do IFSertãoPE;;;;;2022;;;;;;;;;
